test_cas,species,score_scaled
9,143,79.26927554551983
9,220,86.96226475134183
9,263,97.01239141952725
9,267,89.95406429537857
9,281,90.74759147804288
9,316,75.62440343963056
9,404,71.06076859459989
10,316,32.55744414337471
11,220,68.8787987534176
11,267,66.85492762110506
12,198,65.28509121100959
12,220,70.57134774348484
12,267,69.77811885404154
12,404,64.12068116918527
13,267,85.7670086373706
14,16,84.23867734158453
14,31,65.73537488196756
14,72,66.94342056740214
14,87,88.95046346003788
14,129,77.44329582174386
14,131,101.2766152714068
14,136,76.60764218703781
14,141,86.58916054412296
14,143,68.63678139776454
14,173,78.18627796847402
14,179,76.64290590232504
14,205,76.74977018196644
14,220,84.28042877848881
14,244,97.4749587036996
14,247,106.77534630236231
14,267,94.37638685612788
14,268,94.46487980242497
14,278,71.15736182557973
14,316,60.408733928043205
14,319,81.62612746493282
14,330,69.59401236520137
14,331,77.75097853421326
14,336,90.85338439600251
14,341,90.43943580201353
14,342,84.09446826500493
14,346,81.48399947000418
14,378,77.55509312399313
14,393,83.99324210895168
14,404,73.45672220782501
15,204,61.81172228545875
16,220,80.87773106340856
16,267,83.05383588009965
17,316,40.21283075283985
18,316,46.00301723457577
19,316,47.12236573194185
20,267,100.82258054918974
21,31,84.86520599959105
21,72,88.49769964315708
21,87,90.85338439600251
21,99,86.82565664407947
21,132,88.50532990037983
21,136,89.28354798590703
21,198,90.85338439600251
21,220,89.07352951024149
21,244,89.95406429537857
21,250,88.36549259732678
21,260,89.03226782908733
21,267,94.07514404511205
21,268,90.19256498189081
21,316,84.99610597278861
21,319,89.50002957316151
21,329,85.26785633011016
21,331,86.05742909067862
21,342,89.768919492542
21,346,98.37738412172983
21,393,90.80028907628065
21,404,91.52390070547405
22,316,102.55926501196515
23,220,88.09029076283423
23,267,86.7956561872313
23,316,84.62367229019513
23,319,86.26254847389707
24,316,60.48939467261365
25,44,57.55624777738937
25,220,62.339423612405795
25,316,66.61291026545199
25,330,70.36124153692597
26,0,123.35860905328086
26,7,122.35188081336777
26,74,121.89784609115071
26,175,121.06923107280942
26,192,130.6673219096762
26,204,121.68136450389623
26,220,107.50348548807445
26,245,118.75817327095974
26,267,131.82867387865525
26,268,129.79128670670065
26,278,121.75422329703903
26,316,134.68116002930907
26,319,123.92171722346325
26,331,118.48225177031448
26,357,120.67037386065995
26,368,120.68886295532234
26,395,138.55078907236236
26,404,121.47134602823068
27,316,57.05838053661708
28,3,100.01353465742962
28,31,86.08443525232528
28,32,99.70677886131132
28,72,93.94988679320785
28,87,88.80955552982364
28,99,93.31709227100121
28,100,89.51323276090253
28,131,98.269505391687
28,141,88.82951326368998
28,143,69.11729943992984
28,187,92.8065504460324
28,188,91.23671403593693
28,214,84.5308524416115
28,215,83.95915435806845
28,220,101.10290035974366
28,267,90.29027622582012
28,268,89.05286841912167
28,316,89.50002957316151
28,319,85.95042936313206
28,330,83.43322696870248
28,331,113.08453775407
28,342,95.41701924103317
28,346,92.8065504460324
28,393,89.90731929635544
29,0,89.21565750517013
29,31,72.47250629582561
29,87,93.85126233030961
29,198,73.75515603638397
29,220,104.87032281381482
29,267,89.95406429537857
29,268,96.48281664803412
29,316,72.47250629582561
29,319,94.03314334442156
29,331,96.88562949507539
29,342,92.13603413656087
29,346,63.771761903665855
29,407,94.55450007769967
30,204,110.84418503450297
30,316,110.09930999609708
31,220,105.6989378321561
31,331,107.15970079428625
31,404,101.27192676975393
32,131,81.48399947000418
32,176,26.72826766949565
32,260,43.15053108392195
32,331,28.559384375222933
32,335,61.14214288538017
33,95,67.99826396828051
33,316,78.35559181870508
33,319,75.71676927150287
33,331,72.35622106202142
34,316,58.29746916914356
35,44,93.1674037202995
35,220,94.24570019156323
35,267,86.94695441565878
36,316,65.35579629329223
37,316,61.519041592628156
38,316,19.389135256605726
39,204,62.0759741107946
40,330,89.07352951024149
41,204,52.679890494423
42,0,107.43562229493152
42,31,110.40158020345935
42,72,125.60234484406946
42,143,101.88874870249361
42,198,113.08453775407
42,220,117.4755235304014
42,267,114.78113608861732
42,316,111.61592750002777
42,331,102.13607636189504
42,346,124.0399569221973
42,395,117.39392249077781
43,220,56.27359803683102
43,267,56.27359803683102
44,316,57.50950277836624
45,316,108.33494239555547
45,319,95.11760824788207
46,0,114.31711542225413
46,3,96.1911706901075
46,16,97.07663932240317
46,31,107.10579174528584
46,34,106.63834406100814
46,42,78.17699495087614
46,47,122.83725232000273
46,72,102.55926501196515
46,80,111.92864993796348
46,99,110.89001644395665
46,106,68.3276062164121
46,116,83.41468915436677
46,131,99.07902922743112
46,136,114.54530071620013
46,141,114.73333230466184
46,143,95.63971663418401
46,156,111.17145783226819
46,159,87.93019316306604
46,175,115.45165239808885
46,198,115.27793748642571
46,203,106.89419394612736
46,214,92.77146261035541
46,215,107.05229265499712
46,220,111.87555461824161
46,225,116.39105862694089
46,227,117.96089503703637
46,244,112.14513152521796
46,246,125.94558835577578
46,250,110.31630526276982
46,260,112.96001952170212
46,263,120.50612290262703
46,267,117.8363768046685
46,268,117.96089503703637
46,278,107.96737700493156
46,279,105.27243776923608
46,291,113.88181598799338
46,308,107.43562229493152
46,316,110.84418503450297
46,317,102.51718056062471
46,319,114.02394398292202
46,330,108.33494239555547
46,331,109.36631197929411
46,333,117.3362101370185
46,336,113.08453775407
46,342,117.02148880818433
46,343,116.19287378984305
46,346,104.0018684131715
46,348,95.83714981825803
46,358,138.55078907236236
46,370,77.75097853421326
46,377,102.72296204720186
46,380,101.76198677804176
46,381,62.9179765669907
46,389,85.87123419507651
46,393,119.34477093364798
46,395,115.45165239808885
46,404,108.73630497447533
46,408,108.02221995761975
46,415,128.23496633624723
47,138,97.06374271664718
47,204,96.16957842165506
47,220,106.63834406100814
47,235,92.13603413656087
47,267,100.52133773817391
47,316,92.59860142073322
47,331,96.40025798844043
48,267,93.41612612523875
48,316,80.54371390905055
48,331,79.4145481861701
49,31,62.81818629143427
49,346,68.8787987534176
50,316,51.515480452598695
51,220,57.14632038755088
51,316,64.02593096295705
51,319,58.61730135651688
52,316,69.16598542295472
53,44,28.010917410054006
53,220,28.010917410054006
53,316,37.596783923306816
54,95,87.0393202475311
54,319,83.9132969705879
54,331,85.26785633011016
55,3,26.004656040302237
56,316,92.07236767064298
57,9,107.15970079428625
57,42,65.28509121100959
57,72,81.99454129497299
57,76,76.26439867533148
57,91,81.79467563204713
57,143,76.23097772663533
57,151,66.96125352110744
57,192,95.31579308497992
57,196,71.06076859459989
57,220,80.20134972944582
57,263,76.53764064957996
57,267,78.63151331935035
57,268,107.15970079428625
57,278,73.83060015318044
57,292,82.32361542329977
57,308,97.68290772899877
57,317,71.55756999240829
57,330,84.13537010388032
57,331,73.30771981063603
57,335,76.4683287936549
57,340,97.68290772899877
57,341,107.15970079428625
57,358,79.01709455042887
57,381,81.46713546719515
57,393,106.89419394612736
57,404,59.674551152653784
58,0,122.73746204444629
58,3,132.19902762225237
58,4,134.68116002930907
58,31,137.268139331804
58,42,141.4032752230162
58,47,128.79807450642963
58,72,96.40025798844043
58,80,119.34477093364798
58,87,128.56739493964426
58,99,127.37036609126278
58,151,124.09983044503504
58,152,128.02176527899846
58,175,130.08072424698798
58,198,124.66293861521743
58,214,114.94286956712088
58,220,125.98478119513597
58,225,116.59498874526432
58,227,131.65056065708345
58,244,125.2043669640216
58,246,130.08072424698798
58,251,132.5899668859355
58,253,132.16110248205229
58,260,125.2043669640216
58,267,126.01629343805844
58,278,127.71360960296911
58,291,114.02394398292202
58,310,121.47134602823068
58,316,119.1934727052205
58,317,121.55460257944438
58,319,126.95231659568887
58,330,83.06065443307483
58,331,127.91753972129254
58,336,142.1444966147704
58,342,132.5899668859355
58,343,136.88777121431693
58,346,120.43433558105761
58,370,127.32267033928602
58,395,138.3656442695258
58,404,125.2043669640216
59,204,78.1423907614563
60,143,56.8644452293795
60,316,68.8787987534176
60,346,79.63824155926343
60,408,72.27975186924036
61,220,47.92177291019067
61,267,54.162333277931374
61,316,60.408733928043205
61,319,57.102213055172314
61,331,50.482304450447316
61,404,44.209825669048605
62,3,116.00011936325778
62,267,126.2654205431491
62,319,96.63875867495267
63,31,56.00519668278075
63,90,62.120698333067324
63,188,62.15668355971047
63,204,59.86730557923904
63,220,65.42721920593821
63,267,68.8787987534176
63,316,60.79183844849248
63,330,59.36458487399709
63,331,59.42549518063595
63,389,50.14723653114249
64,316,53.42111188617719
65,316,60.408733928043205
66,3,81.11400650983592
66,16,93.93335306886512
66,18,128.3319585914587
66,42,81.19456192971685
66,43,97.66604372618976
66,47,90.2412509649157
66,58,70.83112064251976
66,72,81.66211269157597
66,80,103.30048640371933
66,87,104.43463255171753
66,121,76.98725602628483
66,132,77.13787956791091
66,143,79.52018224993104
66,148,87.2596768535945
66,151,94.53108875336667
66,155,73.012527766019
66,171,107.60652373066445
66,175,84.62367229019513
66,186,84.68993742504753
66,187,79.11688482598531
66,201,83.99324210895168
66,213,90.85338439600251
66,220,98.99375428674159
66,225,87.10157814472474
66,227,86.94695441565878
66,246,91.23671403593693
66,260,89.03226782908733
66,263,71.48247363531698
66,267,109.005458705027
66,268,104.75403758001062
66,301,97.9408423960179
66,316,83.05383588009965
66,317,86.94695441565878
66,330,64.61201714965758
66,331,84.40719070294067
66,335,76.0304778753767
66,336,88.67141455482022
66,403,97.9408423960179
66,404,78.77364131427899
66,408,98.42412912075297
67,175,35.81046592595686
67,316,44.645125103309354
68,3,42.098560910148954
68,330,47.4602896997503
69,3,76.26439867533148
70,0,83.07144564266044
70,3,68.46887136357911
70,31,74.47036964816773
70,42,67.40339458627399
70,44,89.50002957316151
70,56,82.19402304358151
70,60,88.36736388247407
70,72,84.89256220957563
70,76,79.74731500722876
70,79,82.0705971326924
70,80,77.62303433995444
70,87,86.27643810618724
70,91,87.44763625797681
70,96,77.33324737599861
70,99,76.37923237231914
70,102,67.86097944195414
70,122,84.01337115407108
70,131,78.17747859713329
70,136,83.46112560329358
70,140,88.60334812849264
70,141,88.76980911636161
70,143,67.78429088398353
70,154,89.95406429537857
70,159,78.63151331935035
70,192,87.2596768535945
70,198,89.83777906157437
70,209,87.45420804404063
70,214,84.88571317791047
70,220,80.68672123608079
70,224,78.43723795524544
70,241,82.40413584941112
70,244,71.73128490407143
70,250,75.81036395311442
