,0
908,1.3
909,9.0
910,30.0
911,7.0
912,4.65
913,21.2
914,2.05
915,0.97
916,14.2
917,3.6
918,3.8
919,3.0
920,6.23
921,1.88
922,1.42
923,14.7
924,2.6
925,7.0
926,2.48
927,1.43
928,2.43
929,18.8
930,3.85
931,6.3
932,2.0
933,4.28
934,4.6
935,14.1
936,12.4
937,76.2
938,0.8420000000000001
939,1.46
940,2.58
941,5.05
942,50.0
943,25.4
944,50.0
945,12.8
946,7.0
947,35.7
948,3.09
949,34.0
950,49.0
951,1.26
952,8.9
953,9.45
954,1.68
955,1.33
956,5.21
957,3.39
958,8.76
959,2.19
960,2.0
961,7.75
962,96.3
963,4.58
964,2.16
965,5.05
966,0.892
967,7.8
968,4.6
969,4.0
970,50.0
971,2.6
972,3.21
973,9.7
974,5.95
975,75.6
976,1.5
977,1.4
978,19.6
979,2.89
980,2.9
981,44.3
982,10.9
983,13.2
984,4.4
985,4.65
986,16.3
987,1.5
988,9.8
989,9.08
990,32.1
991,3.4
992,8.0
993,3.51
994,2.68
995,1.19
996,1.3
997,1.88
998,6.19
999,10.8
1000,5.2
1001,3.39
1002,2.59
1003,1.18
1004,2.89
1005,0.85
1006,3.01
1007,66.3
1008,1.41
1009,18.8
1010,5.81
1011,1.7
1012,4.4
1013,3.4
1014,1.73
1015,1.89
1016,0.71
1017,48.0
1018,23.2
1019,2.36
1020,4.52
1021,1.68
1022,1.48
1023,5.37
1024,2.23
1025,1.0
1026,2.62
1027,1.2
1028,1.72
1029,1.43
1030,0.8
1031,1.74
1032,8.28
1033,23.4
1034,22.2
1035,71.0
1036,3.6
1037,4.55
1038,8.0
1039,3.0
1040,15.2
1041,12.375
1042,0.51
1043,6.28
1044,11.9
1045,1.81
1046,21.1
1047,76.2
1048,1.68
1049,1.92
1050,3.07
1051,0.77
1052,0.84
1053,52.0
1054,10.7
1055,2.72
1056,1.6
1057,11.6
1058,6.2
1059,30.0
1060,0.857
1061,4.04
1062,6.43
1063,1.78
1064,6.26
1065,2.93
1066,2.37
1067,6.0
1068,12.2
1069,0.625
1070,0.949
1071,15.4
1072,8.43
1073,21.1
1074,8.9
1075,26.2
1076,1.4
1077,1.3
1078,2.5
1079,4.0
1080,2.72
1081,2.84
1082,18.8
1083,4.4
1084,14.4
1085,1.11
1086,42.6
1087,5.28
1088,4.3
1089,6.68
1090,9.14
1091,6.2
1092,5.15
1093,7.75
1094,2.19
1095,6.5
1096,18.8
1097,4.65
1098,0.7040000000000001
1099,0.45
1100,28.0
1101,1.12
1102,7.96
1103,21.0
1104,2.44
1105,9.0
1106,8.21
1107,12.0
1108,1.64
1109,23.2
1110,1.53
1111,1.43
1112,1.74
1113,0.73
1114,15.6
1115,5.48
1116,13.8
1117,4.96
1118,10.3
1119,10.9
1120,1.2
1121,4.69
1122,10.4
1123,2.63
1124,5.55
1125,2.07
1126,16.9
1127,18.0
1128,0.77
1129,89.0
1130,1.89
1131,4.62
1132,0.947
1133,1.97
1134,8.41
1135,1.74
1136,1.39
1137,3.08
1138,0.56
1139,13.2
1140,9.7
1141,1.54
1142,1.48
1143,4.93
1144,1.36
1145,0.765
1146,4.3
1147,2.3
1148,2.32
1149,5.6
1150,5.45
1151,4.65
1152,2.35
1153,3.38
1154,2.88
1155,1.3
1156,3.32
1157,2.63
1158,3.0
1159,5.95
1160,1.78
1161,6.23
1162,52.0
1163,3.68
1164,5.6
1165,28.3
1166,1.42
1167,5.93
1168,1.81
1169,3.63
1170,4.3
1171,20.0
1172,7.18
1173,2.7
1174,18.8
1175,26.8
1176,0.956
1177,0.765
1178,2.13
1179,5.45
1180,8.0
1181,2.51
1182,1.1
1183,1.4
1184,7.02
1185,0.73
1186,1.87
1187,1.15
1188,11.6
1189,4.78
1190,4.93
1191,3.47
1192,4.88
1193,5.61
1194,7.0
1195,16.0
1196,5.5
1197,0.532
1198,10.0
1199,6.42
1200,1.48
1201,10.875
1202,0.7040000000000001
1203,3.4
1204,0.9
1205,22.9
1206,23.4
1207,8.52
1208,1.48
1209,1.44
1210,5.38
1211,1.35
1212,1.2
1213,2.59
1214,1.22
1215,5.6
1216,1.0
1217,2.7
1218,0.478
1219,5.4
1220,23.2
1221,10.8
1222,1.49
1223,1.06
1224,19.5
1225,29.0
1226,6.0
1227,2.1
1228,9.0
1229,3.38
1230,4.0
1231,0.172
1232,19.0
1233,2.0
1234,6.9
1235,0.97
1236,0.765
1237,1.06
1238,12.9
1239,3.6
1240,2.46
1241,16.8
1242,12.1
1243,60.0
1244,6.1
1245,0.8420000000000001
1246,1.68
1247,9.65
1248,3.01
1249,1.88
1250,25.5
1251,21.1
1252,5.95
1253,1.66
1254,4.3
1255,40.5
1256,60.0
1257,60.0
1258,2.92
1259,0.8220000000000001
1260,2.51
1261,60.0
1262,5.29
1263,10.6
1264,2.04
